num,nom,annee_naissance,annee_decès,profession
227617,Lebecq Stéphane ,1944.0,,historien
605867,Milloué Léon de ,1842.0,,historien
66350,Chaponnière Jean-Raphaël ,1946.0,,ingénieur
54124,GAULÉ Alain,,,
203300,Annaert Philippe ,1959.0,,philosophe
0005621,Roscanu Horia,,,
44534,Popkin Jeremy D. ,1948.0,,professeur
0005641,Souley Abdoulaye Niandou,,,
0005651,Déom Esther,,,
249614,Barrera Caroline,,,professeur
273458,Ferté Patrick,,,autre
281469,Kiss Alexandre Charles ,1925.0,2007.0,conseiller
148465,Vignes Daniel-Henri,,,
236129,Ragi Tariq,,,sociologue
27848,Lowit Thomas,,,directeur
59941,Kessler Denis ,1952.0,,economiste
59942,Peyrelevade Jean ,1939.0,,conseiller
79564,Savart Claude ,1930.0,,professeur
31139,Meyriat Jean ,1921.0,2010.0,directeur
147515,Halary Charles,,,
26742,Dulong Delphine ,1969.0,,autre
26747,Georgakakis Didier,,,autre
283482,Négrier Emmanuel,,,
175934,Dziewanowski Marian ,1913.0,2005.0,
176536,Bornstein Morris,,,
157320,Pérouse Gabriel-André ,1929.0,2005.0,historien
364639,Duval Paul-Marie ,1912.0,1997.0,
385576,de Rougemont Martine ,1940.0,2015.0,professeur
386710,McClellan James Edward ,1946.0,,
28644,Gossiaux Jean-François,,,anthropologue
269022,Gallissot René,,,professeur
69282,Dickhaus Monika,,,
172557,Kruta Venceslas ,1939.0,,archéologue
203327,Sîrbu Valeriu,,,
202801,Castelletti Lanfredo,,,
34225,Genevey Pierre,,,
26851,De La Serre Françoise,,,directeur
47969,Zilliacus Konrad,,,
295980,Bartsch Hans-Jürgen,,,
285193,Rudelle Odile ,1937.0,2013.0,historien
84430,Stürmer Michael,,,
222348,Duchene Josianne,,,
222350,Van Houte-Minet Michèle,,,
59414,Blayo Chantal ,1936.0,,
295578,Juncker Jean-Claude ,1954.0,,autre
51977,Pomian Krzysztof ,1934.0,,historien
62943,Desbrousses Hélène ,1939.0,,
62945,Peloille Bernard,,,
396290,Neveu Bruno ,1936.0,2004.0,historien
147841,Decaux Emmanuel ,1947.0,,professeur
46771,David Dominique ,1949.0,,chercheur
26504,Cazes Bernard ,1927.0,2013.0,autre
47275,Chenel Françoise,,,
228630,Lechervy Christian ,1963.0,,autre
33979,Denis Gilles,,,
47098,Petit André,,,
35481,Adda Joëlle,,,
233319,Vernochet Jean-Michel ,1947.0,,journaliste
48314,Kwasniewski Aleksander,,,
47645,Gilmour Ian,,,
0006641,Franck Christian,,,
283984,Narotchnizky A.L.,,,
33685,Minerbi Sergio ,1929.0,,chercheur
24712,Dantec Alexis,,,
26027,Pelgrin Florian,,,
0006673,Département analyse et prévision de l'OFCE,,,
240969,Aghion Philippe ,1956.0,,professeur
25041,Grosfeld Irena,,,
5311,Bolton Patrick,,,
5312,Tirole Jean ,1953.0,,ingénieur
33002,RICHONNIER Michel ,1943.0,,
651976,Pouts-Lajus Serge,,,
27169,Trebitsch Michel ,1948.0,2004.0,fondateur
570853,Diebolt Jacques,,,
242199,Ferras Robert ,1935.0,,géographe
248592,Piveteau Jean-Luc ,1928.0,,géographe
264386,Ginier Jean,,,
29792,Michel Bernard ,1935.0,2013.0,directeur
250614,George Pierre ,1909.0,2006.0,géographe
271280,Gallois Lucien ,1857.0,1941.0,géographe
35478,Gladwyn,,,
11681,Dehousse Renaud,,,
285843,Secretan Philibert,,,
165785,Birmele André,,,
165796,Boudier Séverine,,,
6612,Saint-Robert Philippe de ,1934.0,,journaliste
36445,Baillot Louis,,,autre
233241,Berg Eugène ,1945.0,,autre
281846,Mendras Marie ,1957.0,,historien
34455,Gorand François,,,
47751,Edzard-Karolyi Angelica,,,autre
34040,Carrington,,,
34891,Daguet François,,,
46454,Texeraud Marie-Thérèse,,,
46522,Labbé Marie-Hélène,,,directeur
47132,Abou Diab Khattar ,1956.0,,autre
47562,Commeau-Rufin Irène,,,chercheur
166145,Ferry Jean-Marc ,1946.0,,philosophe
166201,Hunyadi Mark ,1960.0,,philosophe
34139,Galasso Giuseppe ,1929.0,,historien
270290,Delpérée Francis ,1942.0,,juriste
8882,Noirot ,1923.0,2010.0,
245098,Elissalde Bernard ,1951.0,,géographe
823374,Collard Susan,,,
852852,Melitopoulos Angela,,,
394021,Lazzarato Maurizio,,,sociologue
263490,Antheaume Benoît ,1946.0,,géographe
242562,Moindrot Claude,,,professeur
277200,Peytard Jean ,1924.0,1999.0,professeur
0007411,Jacquemin Alex,,,
0007421,Tusseau Jean-Pierre,,,
404032,Belorgey Jean-Michel ,1944.0,,juriste
2712,POINSOT Marie,,,autre
219348,Caplat Guy ,1924.0,,
251347,El Yamani Mohamed Saad Eddine ,1963.0,,autre
63158,Blanckaert Claude ,1952.0,,anthropologue
82156,Roques F.,,,
271212,Zolberg Aristide ,1931.0,,directeur
31650,de Tricornot H.,,,
30424,Coriat Benjamin,,,professeur
33404,Aubert de La Rue Philippe,,,
10428,Eslami M.,,,
0007631,La Chance Michaël,,,
257011,Clozier René ,1888.0,1987.0,géographe
698199,Clément Pierre ,1943.0,,
151520,Laborit Henri ,1914.0,1995.0,
250002,Jin Wang,,,
246374,Le Bail Hélène ,1975.0,,autre
393090,Boudon Philippe ,1941.0,,directeur
266626,Gonzalez Alexander,,,professeur
229358,Revault d,,,
30541,Boyer-Xambeu Marie-Thérèse,,,autre
288714,Legrand Louis ,,2015.0,professeur
57274,Rostand Jean ,1894.0,1977.0,historien
72028,de Ranse,,,
46646,Angenendt Steffen,,,
180040,Fischer Andrea,,,
235493,Le Bozec Christine ,1941.0,,autre
833253,Chemin Camille ,1878.0,1959.0,
165161,Bodeux Michel ,1864.0,,autre
205149,Sanine Kyra,,,autre
0007831,Papen Robert A.,,,
0007832,Chevalier Gisele,,,
424334,Lesbre François-Xavier ,1858.0,1942.0,médecin
616089,Guinard L.,,,
177157,Corbetta Daniela,,,
246744,Amand David ,1907.0,1976.0,philosophe
417607,Beauharnais Alexandre François vicomte de ,1760.0,1794.0,autre
402004,Gouttes Jean-Louis ,1739.0,1794.0,autre
230400,Carroy Jacqueline,,,autre
145263,Richaudeau François ,1920.0,2012.0,
237071,Desrousseaux Alexandre-Marie ,1861.0,1955.0,journaliste
59637,Renneville Marc ,1967.0,,
34493,Frankel Charles,,,
852837,Braunschwig Marcel ,1876.0,1953.0,
67334,Vacher de Lapouge Georges ,1854.0,1936.0,anthropologue
232560,Taguieff Pierre-André ,1946.0,,philosophe
248410,Fierobe Claude,,,professeur
449573,Faghih Nasrin,,,
231654,Auclair Valérie,,,autre
213225,Grisoni-Niaki Jean-Claude ,1966.0,,
49398,Anonyme ,,,
0008031,Romer Jean-Christophe,,,
204514,Corrado-Kazanski Florence ,1976.0,,autre
275951,Dubois Claude-Gilbert ,1933.0,,fondateur
0008071,Gilbert Anne,,,
0008072,Thériault Joseph Yvon,,,
395559,Blanchard Gérard ,1927.0,1998.0,historien
150442,Catsiapis Hélène,,,
179636,Moore Thomas Gale,,,
687026,Massiah Gustave ,1941.0,,ingénieur
32900,Lebon André ,1939.0,,conseiller
