mot,num_article,frequence
comm,728,1
europ,729,5
pay,729,1
polit,729,1
europ,730,5
pay,730,1
polit,730,1
européen,730,4
tout,730,1
europ,731,5
plus,731,1
polit,731,1
tout,731,1
entre,731,1
europ,732,3
plus,732,1
pay,732,1
franc,732,1
europ,733,5
comm,733,1
europ,734,5
europ,735,2
des,735,1
plus,735,1
polit,735,1
europ,736,3
des,736,1
pay,736,1
franc,736,1
europ,737,2
plus,737,1
pay,737,1
tout,737,1
comm,737,1
europ,738,2
plus,738,1
pay,738,1
tout,738,1
comm,738,1
europ,739,2
plus,739,2
europ,740,2
franc,740,2
plus,741,1
europ,742,1
des,742,1
plus,742,2
polit,742,1
européen,742,5
entre,742,1
europ,743,2
plus,743,1
tout,743,1
entre,743,1
europ,744,2
pay,744,3
franc,744,1
europ,745,2
franc,745,2
europ,746,2
plus,746,1
tout,746,1
europ,748,1
des,748,1
europ,749,1
des,749,1
plus,749,1
européen,749,2
plus,750,1
plus,751,1
comm,751,1
europ,752,2
franc,752,1
europ,753,3
polit,754,1
europ,755,1
pay,755,1
tout,755,1
comm,755,1
europ,756,7
polit,756,1
comm,756,1
europ,757,11
des,757,2
pay,757,2
européen,757,2
comm,757,1
entre,757,6
europ,758,7
européen,758,1
europ,759,6
polit,759,3
européen,759,2
europ,760,6
pay,760,1
européen,760,1
comm,761,1
européen,762,1
des,764,3
europ,765,8
des,766,2
plus,766,1
comm,766,1
des,767,2
pay,767,1
comm,767,1
des,768,1
plus,769,1
tout,769,1
polit,770,1
europ,771,2
pay,771,1
des,772,1
entre,772,1
des,773,1
plus,773,1
tout,775,2
comm,775,1
europ,777,5
plus,777,2
pay,777,1
polit,777,3
franc,777,2
comm,777,1
entre,777,1
polit,779,1
des,780,1
tout,780,1
plus,781,1
europ,782,1
plus,782,1
européen,782,1
tout,782,1
europ,783,1
des,783,1
plus,783,2
polit,783,1
europ,784,1
franc,784,1
tout,784,1
entre,786,1
tout,787,1
europ,789,1
plus,789,1
europ,790,3
franc,790,8
européen,790,1
tout,791,1
comm,791,3
plus,792,1
europ,793,2
comm,793,1
europ,794,2
polit,794,1
des,795,1
plus,795,1
comm,795,1
des,796,1
plus,796,1
europ,797,1
des,797,1
plus,797,3
comm,797,1
des,798,2
plus,798,1
tout,799,3
comm,799,1
comm,800,2
des,801,2
europ,802,1
pay,802,2
europ,803,1
comm,803,1
europ,804,9
polit,804,1
européen,804,1
europ,805,1
comm,805,1
europ,806,3
plus,806,2
pay,806,1
franc,806,2
europ,807,1
comm,807,1
europ,808,2
comm,808,1
europ,809,1
franc,809,1
europ,810,1
pay,810,1
franc,810,1
tout,810,1
europ,811,7
plus,811,3
pay,811,1
tout,811,1
europ,812,1
des,812,1
tout,812,2
europ,813,3
pay,813,1
franc,813,1
européen,813,1
tout,813,1
plus,814,2
europ,815,1
des,816,1
plus,816,4
tout,816,1
comm,816,1
europ,817,7
des,817,1
franc,817,1
entre,817,1
europ,818,5
europ,819,5
polit,819,1
franc,819,1
europ,820,6
europ,821,5
polit,821,1
europ,822,2
des,822,3
européen,822,2
europ,823,7
plus,823,1
europ,824,7
des,824,1
europ,825,7
plus,825,1
pay,825,2
tout,826,1
plus,827,1
comm,827,1
entre,827,1
des,828,2
plus,828,1
polit,828,1
europ,829,2
des,829,1
pay,829,2
comm,829,1
des,830,3
plus,830,1
europ,831,3
pay,831,2
europ,832,4
europ,833,2
des,833,1
plus,833,2
des,834,1
entre,834,1
europ,835,3
polit,835,1
europ,836,2
des,836,1
plus,836,1
europ,837,1
tout,837,2
europ,838,1
comm,838,1
europ,839,1
comm,839,1
des,840,3
entre,840,1
plus,841,2
tout,841,1
entre,841,2
des,842,1
des,843,1
europ,844,4
europ,845,2
comm,845,1
europ,846,2
des,846,1
comm,846,1
des,847,3
pay,847,2
europ,848,3
europ,849,4
européen,849,2
europ,850,3
europ,851,1
plus,851,1
pay,851,1
entre,851,1
europ,852,2
polit,852,1
europ,853,1
des,853,2
tout,853,1
europ,854,3
europ,855,2
plus,856,1
comm,856,1
plus,861,3
des,862,2
tout,862,1
comm,862,2
des,863,4
entre,863,3
europ,864,3
plus,864,5
pay,864,1
comm,864,1
des,865,2
plus,865,1
comm,865,1
des,866,3
plus,866,1
comm,866,1
entre,866,2
plus,867,1
polit,867,1
entre,867,1
europ,869,1
des,869,1
comm,869,2
europ,870,1
tout,870,1
europ,871,1
plus,871,1
pay,871,1
tout,871,1
europ,872,1
européen,872,1
europ,873,1
europ,874,1
franc,874,1
europ,875,1
plus,875,1
polit,875,1
europ,876,1
europ,877,1
plus,877,1
comm,877,1
europ,878,1
pay,878,1
europ,879,1
plus,879,2
franc,879,1
europ,880,4
des,880,1
europ,881,2
des,881,1
comm,881,1
europ,882,6
pay,882,2
polit,882,1
comm,882,1
europ,883,2
europ,884,3
europ,885,1
pay,885,1
comm,885,1
europ,886,3
plus,886,2
pay,886,2
entre,886,1
europ,887,1
pay,887,1
comm,887,1
europ,888,1
plus,888,1
plus,890,1
comm,890,1
plus,894,2
tout,894,1
comm,894,1
europ,895,1
des,895,2
pay,895,1
europ,896,2
comm,896,1
europ,897,1
franc,897,1
europ,898,3
européen,898,1
europ,899,7
polit,899,1
européen,899,1
tout,899,1
europ,900,1
des,900,3
polit,900,2
tout,900,1
europ,901,4
comm,901,1
europ,902,2
plus,902,1
europ,903,5
européen,903,1
europ,904,2
europ,905,4
plus,905,1
pay,905,1
polit,905,2
européen,905,1
entre,905,1
europ,906,5
pay,906,1
européen,906,2
tout,906,1
entre,906,1
