nom,num_doc,role
417598,1226.0,Signataire
216689,1227.0,
653291,1228.0,
14804,1229.0,
4001,1230.0,
591625,1230.0,
71364,1231.0,
71365,1231.0,
272025,1232.0,
394039,1233.0,
275517,1234.0,
176939,1235.0,
38917,1236.0,
423691,1237.0,
71967,1238.0,
82241,1239.0,
295938,1241.0,
6536,1242.0,
400275,1243.0,
167068,1244.0,
236351,1245.0,
399124,1246.0,
221336,1247.0,
250614,1248.0,
148904,1249.0,
00012491,1250.0,
266469,1252.0,
276863,1254.0,
254431,1256.0,
72026,1257.0,
830836,1258.0,
66779,1259.0,
295350,1260.0,
00012601,1261.0,
72429,1262.0,
163951,1263.0,
30551,1264.0,
288067,1265.0,
224798,1267.0,
74265,1269.0,
24276,1270.0,
257011,1272.0,
00012721,1273.0,
694544,1274.0,
158915,1275.0,
00012761,1277.0,
392689,1278.0,
267942,1279.0,
76518,1279.0,
389165,1279.0,
29994,1280.0,
272862,1281.0,
29167,1282.0,
210361,1283.0,
288736,1284.0,
238264,1285.0,
167594,1286.0,
161861,1287.0,
10304,1288.0,
268571,1289.0,
144250,1290.0,
245222,1291.0,
57615,1292.0,
57616,1292.0,
57617,1292.0,
248410,1293.0,
248412,1293.0,Contributeur
248371,1293.0,Contributeur
255556,1294.0,
404506,1295.0,
147455,1296.0,
72358,1297.0,
235550,1298.0,
609357,1301.0,
763927,1302.0,
54526,1303.0,
198836,1304.0,
270318,1305.0,
270395,1305.0,
158915,1306.0,
31767,1307.0,
30644,1308.0,
288067,1309.0,
224868,1310.0,
224869,1310.0,
224870,1310.0,
34143,1311.0,
851425,1312.0,
245970,1313.0,
26407,1314.0,
145263,1315.0,
47897,1316.0,
209208,1317.0,
616861,1318.0,
59626,1319.0,
74264,1320.0,
198085,1321.0,
269208,1322.0,
622795,1323.0,
416518,1324.0,
417607,1324.0,
414716,1324.0,
416494,1324.0,
447991,1324.0,
837538,1324.0,
160468,1325.0,
00013251,1326.0,
00013252,1326.0,
273745,1328.0,
394708,1329.0,
394709,1329.0,
00013301,1331.0,
00013311,1332.0,
251029,1333.0,
165549,1334.0,
277126,1335.0,
262183,1336.0,
285739,1337.0,
253933,1338.0,
72042,1340.0,
00013411,1342.0,
853492,1343.0,
402589,1344.0,
224449,1345.0,
263987,1348.0,
47730,1349.0,
61979,1350.0,
4920,1351.0,
80583,1352.0,
209554,1353.0,
151584,1354.0,
146821,1355.0,
443060,1356.0,
404683,1357.0,
198873,1358.0,
283482,1359.0,
393850,1360.0,
149426,1361.0,
63098,1362.0,
00013621,1363.0,
275291,1364.0,
63884,1366.0,
276839,1367.0,
235367,1369.0,
236512,1370.0,
236515,1371.0,
236516,1371.0,
240879,1374.0,
240944,1375.0,
240405,1375.0,
235391,1376.0,
79673,1377.0,
7903,1378.0,
7336,1379.0,
27609,1380.0,
61099,1381.0,
210270,1381.0,
65039,1382.0,
180092,1383.0,
194938,1385.0,
54242,1386.0,
54243,1387.0,
32900,1388.0,
2088,1389.0,
222983,1390.0,Éditeur intellectuel
